ProvinceCode,CityName
3100,KEPULAUAN SERIBU
3100,KOTA JAKARTA SELATAN
3100,KOTA JAKARTA TIMUR
3100,KOTA JAKARTA PUSAT
3100,KOTA JAKARTA BARAT
3100,KOTA JAKARTA UTARA
1100,KABUPATEN ACEH TIMUR
1100,SIMEULUE
1100,ACEH SINGKIL
1100,ACEH SELATAN
1100,ACEH TENGGARA
1100,ACEH TENGAH
1100,ACEH BARAT
1100,ACEH BESAR
1100,PIDIE
1100,BIREUEN
1100,ACEH UTARA
1100,ACEH BARAT DAYA
1100,GAYO LUES
1100,ACEH TAMIANG
1100,NAGAN RAYA
1100,ACEH JAYA
1100,BENER MERIAH
1100,PIDIE JAYA
1100,KOTA BANDA ACEH
1100,KOTA SABANG
1100,KOTA LANGSA
1100,KOTA LHOKSEUMAWE
1100,KOTA SUBULUSSALAM
1200,NIAS
1200,MANDAILING NATAL
1200,TAPANULI SELATAN
1200,TAPANULI TENGAH
1200,TAPANULI UTARA
1200,TOBA SAMOSIR
1200,LABUHANBATU
1200,ASAHAN
1200,SIMALUNGUN
1200,DAIRI
1200,KARO
1200,DELI SERDANG
1200,LANGKAT
1200,NIAS SELATAN
1200,HUMBANG HASUNDUTAN
1200,PAKPAK BARAT
1200,SAMOSIR
1200,SERDANG BEDAGAI
1200,BATU BARA
1200,PADANG LAWAS UTARA
1200,PADANG LAWAS
1200,LABUHANBATU SELATAN
1200,LABUHANBATU UTARA
1200,NIAS UTARA
1200,NIAS BARAT
1200,KOTA SIBOLGA
1200,KOTA TANJUNG BALAI
1200,KOTA PEMATANG SIANTAR
1200,KOTA TEBING TINGGI
1200,KOTA MEDAN
1200,KOTA BINJAI
1200,KOTA PADANG SIDEMPUAN
1200,GUNUNGSITOLI
1300,KEPULAUAN MENTAWAI
1300,PESISIR SELATAN
1300,SOLOK
1300,SIJUNJUNG
1300,TANAH DATAR
1300,PADANG PARIAMAN
1300,AGAM
1300,LIMA PULUH KOTA
1300,PASAMAN
1300,SOLOK SELATAN
1300,DHARMASRAYA
1300,PASAMAN BARAT
1300,KOTA PADANG
1300,KOTA SOLOK
1300,KOTA SAWAHLUNTO
1300,KOTA PADANG PANJANG
1300,KOTA BUKITTINGGI
1300,KOTA PAYAKUMBUH
1300,KOTA PARIAMAN
1300,DANAU SUMBAR
1400,KUANTAN SINGINGI
1400,INDRAGIRI HULU
1400,PELALAWAN
1400,SIAK
1400,KAMPAR
1400,ROKAN HULU
1400,BENGKALIS
1400,ROKAN HILIR
1400,KEPULAUAN MERANTI
1400,PEKANBARU
1400,DUMAI
1400,KABUPATEN INDRAGIRI HILIR
1500,KERINCI
1500,MERANGIN
1500,SAROLANGUN
1500,BATANG HARI
1500,MUARO JAMBI
1500,TANJUNG JABUNG T
1500,TANJUNG JABUNG B
1500,TEBO
1500,BUNGO
1500,KOTA JAMBI
1500,SUNGAI PENUH
1600,KABUPATEN OGAN KOMERING ULU
1600,KABUPATEN OGAN KOMERING ILIR
1600,KABUPATEN MUARA ENIM
1600,KABUPATEN LAHAT
1600,KABUPATEN MUSI RAWAS
1600,KABUPATEN MUSI BANYUASIN
1600,KABUPATEN BANYUASIN
1600,KABUPATEN OGAN KOMERING ULU SELATAN
1600,KABUPATEN OGAN KOMERING ULU TIMUR
1600,KABUPATEN OGAN ILIR
1600,KABUPATEN EMPAT LAWANG
1600,KOTA PALEMBANG
1600,KOTA PRABUMULIH
1600,KOTA PAGAR ALAM
1600,KOTA LUBUK LINGGAU
1700,KABUPATEN BENGKULU SELATAN
1700,KABUPATEN REJANG LEBONG
1700,KABUPATEN BENGKULU UTARA
1700,KABUPATEN KAUR
1700,KABUPATEN SELUMA
1700,KABUPATEN MUKOMUKO
1700,KABUPATEN LEBONG
1700,KABUPATEN KEPAHIANG
1700,KOTA BENGKULU
1700,BENGKULU TENGAH
1800,LAMPUNG BARAT
1800,LAMPUNG SELATAN
1800,LAMPUNG TIMUR
1800,LAMPUNG UTARA
1800,WAY KANAN
1800,TULANGBAWANG
1800,PESAWARAN
1800,PRINGSEWU
1800,MESUJI
1800,TULANG BAWANG BARAT
1800,Pesisir Barat
1800,KOTA BANDAR LAMPUNG
1800,KOTA METRO
1800,KABUPATEN TANGGAMUS
1800,KABUPATEN LAMPUNG TENGAH
1900,BANGKA
1900,BELITUNG
1900,BANGKA BARAT
1900,BANGKA TENGAH
1900,BANGKA SELATAN
1900,BELITUNG TIMUR
1900,KOTA PANGKAL PINANG
2100,KARIMUN
2100,BINTAN
2100,NATUNA
2100,LINGGA
2100,KEPULAUAN ANAMBAS
2100,KOTA BATAM
2100,KOTA TANJUNG PINANG
3200,KABUPATEN CIREBON
3200,KABUPATEN INDRAMAYU
3200,KABUPATEN PURWAKARTA
3200,BOGOR
3200,SUKABUMI
3200,CIANJUR
3200,BANDUNG
3200,GARUT
3200,TASIKMALAYA
3200,CIAMIS
3200,KUNINGAN
3200,MAJALENGKA
3200,SUMEDANG
3200,SUBANG
3200,KARAWANG
3200,BEKASI
3200,BANDUNG BARAT
3200, Pangandaran
3200,KOTA BOGOR
3200,KOTA SUKABUMI
3200,KOTA BANDUNG
3200,KOTA CIREBON
3200,KOTA BEKASI
3200,KOTA DEPOK
3200,KOTA CIMAHI
3200,KOTA TASIKMALAYA
3200,KOTA BANJAR
3300,WADUK KEDUNGOMBO
3300,KABUPATEN BOYOLALI
3300,KABUPATEN SUKOHARJO
3300,KABUPATEN WONOGIRI
3300,KABUPATEN KARANGANYAR
3300,KABUPATEN SRAGEN
3300,KABUPATEN GROBOGAN
3300,KABUPATEN BLORA
3300,KABUPATEN REMBANG
3300,KABUPATEN PATI
3300,KABUPATEN KUDUS
3300,KABUPATEN JEPARA
3300,KABUPATEN DEMAK
3300,KABUPATEN SEMARANG
3300,KABUPATEN KENDAL
3300,KABUPATEN BATANG
3300,KABUPATEN PEKALONGAN
3300,KABUPATEN PEMALANG
3300,KABUPATEN TEGAL
3300,KABUPATEN BREBES
3300,KOTA SURAKARTA
3300,KOTA SALATIGA
3300,KOTA SEMARANG
3300,KOTA PEKALONGAN
3300,KOTA TEGAL
3300,KABUPATEN CILACAP
3300,KABUPATEN BANYUMAS
3300,KABUPATEN PURBALINGGA
3300,KABUPATEN BANJARNEGARA
3300,KABUPATEN KEBUMEN
3300,KABUPATEN PURWOREJO
3300,KABUPATEN WONOSOBO
3300,KABUPATEN MAGELANG
3300,KABUPATEN KLATEN
3300,KABUPATEN TEMANGGUNG
3300,KOTA MAGELANG
3400,KABUPATEN KULON PROGO
3400,KABUPATEN BANTUL
3400,KABUPATEN GUNUNG KIDUL
3400,KABUPATEN SLEMAN
3400,KOTA YOGYAKARTA
3500,PACITAN
3500,PONOROGO
3500,TRENGGALEK
3500,TULUNGAGUNG
3500,BLITAR
3500,KEDIRI
3500,MALANG
3500,LUMAJANG
3500,JEMBER
3500,BANYUWANGI
3500,BONDOWOSO
3500,SITUBONDO
3500,PROBOLINGGO
3500,PASURUAN
3500,SIDOARJO
3500,MOJOKERTO
3500,JOMBANG
3500,NGANJUK
3500,MADIUN
3500,MAGETAN
3500,NGAWI
3500,BOJONEGORO
3500,TUBAN
3500,LAMONGAN
3500,GRESIK
3500,BANGKALAN
3500,SAMPANG
3500,PAMEKASAN
3500,SUMENEP
3500,KOTA KEDIRI
3500,KOTA BLITAR
3500,KOTA MALANG
3500,KOTA PROBOLINGGO
3500,KOTA PASURUAN
3500,KOTA MOJOKERTO
3500,KOTA MADIUN
3500,KOTA SURABAYA
3500,KOTA BATU
3600,PANDEGLANG
3600,LEBAK
3600,SERANG
3600,KOTA CILEGON
3600,SERANG 3673
3600,KABUPATEN TANGERANG
3600,KOTA TANGERANG
3600,Kota Tangerang Selatan
5100,KABUPATEN JEMBRANA
5100,KABUPATEN TABANAN
5100,KABUPATEN BADUNG
5100,KABUPATEN GIANYAR
5100,KABUPATEN KLUNGKUNG
5100,KABUPATEN BANGLI
5100,KABUPATEN KARANG ASEM
5100,KABUPATEN BULELENG
5100,KOTA DENPASAR
5200,KABUPATEN LOMBOK BARAT
5200,KABUPATEN LOMBOK TENGAH
5200,KABUPATEN LOMBOK TIMUR
5200,KABUPATEN SUMBAWA
5200,KABUPATEN DOMPU
5200,KABUPATEN BIMA
5200,KABUPATEN SUMBAWA BARAT
5200,KABUPATEN LOMBOK UTARA
5200,KOTA MATARAM
5200,KOTA BIMA
5300,SUMBA BARAT
5300,SUMBA TIMUR
5300,KUPANG
5300,TIMOR TENGAH SELATAN
5300,TIMOR TENGAH UTARA
5300,BELU
5300,ALOR
5300,LEMBATA
5300,FLORES TIMUR
5300,SIKKA
5300,ENDE
5300,NGADA
5300,MANGGARAI
5300,ROTE NDAO
5300,MANGGARAI BARAT
5300,SUMBA TENGAH
5300,SUMBA BARAT DAYA
5300,NAGEKEO
5300,MANGGARAI TIMUR
5300,SABU RAIJUA
5300,KOTA KUPANG
6100,KUBU RAYA
6100,KABUPATEN SAMBAS
6100,KABUPATEN BENGKAYANG
6100,KABUPATEN LANDAK
6100,KABUPATEN MEMPAWAH
6100,KABUPATEN SANGGAU
6100,KABUPATEN KETAPANG
6100,KABUPATEN SINTANG
6100,KABUPATEN KAPUAS HULU
6100,KABUPATEN SEKADAU
6100,KABUPATEN MELAWI
6100,KABUPATEN KAYONG UTARA
6100,KOTA PONTIANAK
6100,KOTA SINGKAWANG
6100,KABUPATEN KUBU RAYA
6200,KOTAWARINGIN BARAT
6200,KOTAWARINGIN TIMUR
6200,KAPUAS
6200,BARITO SELATAN
6200,BARITO UTARA
6200,SUKAMARA
6200,LAMANDAU
6200,SERUYAN
6200,KATINGAN
6200,PULANG PISAU
6200,GUNUNG MAS
6200,BARITO TIMUR
6200,MURUNG RAYA
6200,KOTA PALANGKA RAYA
6300,TANAH LAUT
6300,KOTA BARU
6300,BANJAR
6300,BARITO KUALA
6300,TAPIN
6300,HULU SUNGAI SELATAN
6300,HULU SUNGAI TENGAH
6300,HULU SUNGAI UTARA
6300,TABALONG
6300,TANAH BUMBU
6300,BALANGAN
6300,KOTA BANJARMASIN
6300,KOTA BANJAR BARU
6400,KUTAI BARAT
6400,KUTAI KARTANEGARA
6400,KUTAI TIMUR
6400,BERAU
6400,MALINAU
6400,BULUNGAN
6400,NUNUKAN
6400,TANA TIDUNG
6400,KOTA SAMARINDA
6400,KOTA TARAKAN
6400,KOTA BONTANG
6400,KABUPATEN PASIR
6400,KABUPATEN PENAJAM PASER UTARA
6400,KOTA BALIKPAPAN
7100,BOLAANG MONGONDOW
7100,MINAHASA
7100,KEPULAUAN SANGIHE
7100,KEPULAUAN TALAUD
7100,MINAHASA SELATAN
7100,MINAHASA UTARA
7100,BOLAANG MONGONDOW UTARA
7100,SIAU TAGULANDANG BIARO
7100,MINAHASA TENGGARA
7100,BOLAANG MONGONDOW SELATAN
7100,BOLAANG MONGONDOW TIMUR
7100,MANADO
7100,BITUNG
7100,TOMOHON
7100,KOTA KOTAMOBAGU
7200,BANGGAI KEPULAUAN
7200,BANGGAI
7200,MOROWALI
7200,POSO
7200,DONGGALA
7200,TOLI-TOLI
7200,BUOL
7200,PARIGI MOUTONG
7200,TOJO UNA-UNA
7200,SIGI
7200,PALU
7300,KABUPATEN SELAYAR
7300,KABUPATEN BULUKUMBA
7300,KABUPATEN BANTAENG
7300,KABUPATEN JENEPONTO
7300,KABUPATEN TAKALAR
7300,KABUPATEN GOWA
7300,KABUPATEN SINJAI
7300,KABUPATEN MAROS
7300,KABUPATEN PANGKAJENE KEPULAUAN
7300,KABUPATEN BARRU
7300,KABUPATEN BONE
7300,KABUPATEN SOPPENG
7300,KABUPATEN WAJO
7300,KABUPATEN SIDENRENG RAPPANG
7300,KABUPATEN PINRANG
7300,KABUPATEN ENREKANG
7300,KABUPATEN LUWU
7300,KABUPATEN TANA TORAJA
7300,KABUPATEN LUWU UTARA
7300,KABUPATEN LUWU TIMUR
7300,TORAJA UTARA
7300,KOTA MAKASSAR
7300,KOTA PARE-PARE
7300,KOTA PALOPO
7400,KABUPATEN BUTON
7400,KABUPATEN MUNA
7400,KABUPATEN KONAWE
7400,KABUPATEN KOLAKA
7400,KABUPATEN KONAWE SELATAN
7400,KABUPATEN KONAWE UTARA
7400,KOTA KENDARI
7400,KOTA BAU-BAU
7400,BOMBANA
7400,WAKATOBI
7400,KOLAKA UTARA
7400,BUTON UTARA
7500,BOALEMO
7500,GORONTALO
7500,POHUWATO
7500,BONE BOLANGO
7500,GORONTALO UTARA
7500,KOTA GORONTALO
7600,KABUPATEN MAJENE
7600,KABUPATEN POLEWALI MANDAR
7600,KABUPATEN MAMASA
7600,KABUPATEN MAMUJU
7600,KABUPATEN MAMUJU UTARA
7600,KAB. MAMUJU TENGAH
7600,KAB. POLMAS
8100,KABUPATEN MALUKU TENGGARA
8100,KABUPATEN MALUKU TENGAH
8100,KOTA AMBON
8100,KEPULAUAN ARU
8100,SERAM BAGIAN BARAT
8100,KOTA AMBON
8100,MALUKU BARAT DAYA
8100,BURU SELATAN
8100,TUAL
8200,HALMAHERA BARAT
8200,HALMAHERA TENGAH
8200,KEPULAUAN SULA
8200,HALMAHERA SELATAN
8200,HALMAHERA UTARA
8200,HALMAHERA TIMUR
8200,PULAU MOROTAI
8200,KOTA TERNATE
8200,TIDORE KEPULAUAN
9100,KAIMANA
9100,TELUK WONDAMA
9100,TELUK BINTUNI
9100,SORONG SELATAN
9100,RAJA AMPAT
9100,TAMBRAUW
9100,MAYBRAT
9100,KABUPATEN FAK-FAK
9100,KABUPATEN MANOKWARI
9100,KABUPATEN SORONG
9100,KOTA SORONG
9400,KABUPATEN MERAUKE
9400,KABUPATEN JAYAWIJAYA
9400,KABUPATEN JAYAPURA
9400,KABUPATEN NABIRE
9400,KABUPATEN YAPEN WAROPEN
9400,KABUPATEN BIAK NUMFOR
9400,KABUPATEN MIMIKA
9400,KABUPATEN KEEROM
9400,KOTA JAYAPURA
9400,PANIAI
9400,PUNCAK JAYA
9400,BOVEN DIGOEL
9400,MAPPI
9400,ASMAT
9400,YAHUKIMO
9400,PEGUNUNGAN BINTANG
9400,TOLIKARA
9400,SARMI
9400,WAROPEN
9400,SUPIORI
9400,MAMBERAMO RAYA
9400,NDUGA
9400,LANNY JAYA
9400,MAMBERAMO TENGAH
9400,YALIMO
9400,PUNCAK
9400,DOGIYAI
9400,INTAN JAYA
9400,DEIYAI
6500,Malinau
6500,Bulungan
6500,Tana Tidung
6500,Nunukan
6500,Tarakan